timestamp_localtime,experiment,pioreactor_unit,timestamp,od_reading,angle,channel
2024-11-07 13:53:46,Calibration4,worker2,2024-11-07T21:53:46.037666Z,0.34830564066812825,90,2
2024-11-07 13:53:51,Calibration4,worker2,2024-11-07T21:53:51.029816Z,0.3604553855541409,90,2
2024-11-07 13:53:56,Calibration4,worker2,2024-11-07T21:53:56.030303Z,0.3480820013688612,90,2
2024-11-07 13:54:01,Calibration4,worker2,2024-11-07T21:54:01.029935Z,0.3421565910970672,90,2
2024-11-07 13:54:06,Calibration4,worker2,2024-11-07T21:54:06.030049Z,0.34986336200694956,90,2
2024-11-07 13:54:11,Calibration4,worker2,2024-11-07T21:54:11.030443Z,0.3406240444373874,90,2
2024-11-07 13:54:16,Calibration4,worker2,2024-11-07T21:54:16.030084Z,0.34837255886353236,90,2
2024-11-07 13:54:21,Calibration4,worker2,2024-11-07T21:54:21.029664Z,0.3470986985455787,90,2
2024-11-07 13:54:26,Calibration4,worker2,2024-11-07T21:54:26.029666Z,0.3509523319401534,90,2
2024-11-07 13:54:31,Calibration4,worker2,2024-11-07T21:54:31.029413Z,0.348693405630115,90,2
2024-11-07 13:54:36,Calibration4,worker2,2024-11-07T21:54:36.029848Z,0.34977467551875907,90,2
2024-11-07 13:54:41,Calibration4,worker2,2024-11-07T21:54:41.029810Z,0.3369961873085241,90,2
2024-11-07 13:54:46,Calibration4,worker2,2024-11-07T21:54:46.029588Z,0.3471974874353797,90,2
2024-11-07 13:54:51,Calibration4,worker2,2024-11-07T21:54:51.029879Z,0.34963374552951804,90,2
2024-11-07 13:54:56,Calibration4,worker2,2024-11-07T21:54:56.029901Z,0.34453577376510525,90,2
2024-11-07 13:55:01,Calibration4,worker2,2024-11-07T21:55:01.030143Z,0.340786814697227,90,2
2024-11-07 13:55:06,Calibration4,worker2,2024-11-07T21:55:06.030088Z,0.3448519729157027,90,2
2024-11-07 13:55:11,Calibration4,worker2,2024-11-07T21:55:11.030144Z,0.35893887636560334,90,2
2024-11-07 13:55:16,Calibration4,worker2,2024-11-07T21:55:16.030370Z,0.35000912461745004,90,2
2024-11-07 13:55:21,Calibration4,worker2,2024-11-07T21:55:21.030194Z,0.34334527898972594,90,2
2024-11-07 13:55:26,Calibration4,worker2,2024-11-07T21:55:26.030307Z,0.3436063351326525,90,2
2024-11-07 13:55:31,Calibration4,worker2,2024-11-07T21:55:31.030286Z,0.3452741443681558,90,2
